Date,Open,High,Low,Close,Volume
10/22/2015,4451.19,4504.7,4438.63,4503.22,371731034
10/23/2015,4622.3,4645.86,4598.8,4624.09,375563793
10/26/2015,4620.97,4638.74,4606.69,4630.85,303222414
10/27/2015,4617.85,4645.94,4617.85,4639.23,342558621
10/28/2015,4649.06,4678.58,4610.01,4678.58,369160345
10/29/2015,4657.78,4678.05,4653.02,4670.77,332467241
10/30/2015,4676.53,4681.23,4648.83,4648.83,347653448
11/2/2015,4658.73,4707.77,4652.56,4703.92,325548276
11/3/2015,4691.98,4735.3,4686.34,4719.05,349763793
11/4/2015,4728.89,4737.06,4698.89,4717.55,361398276
11/5/2015,4718.94,4731.26,4678.83,4702.9,354222414
11/6/2015,4695.95,4710.4,4665.41,4707.23,356281034
11/9/2015,4687.31,4694.12,4627.15,4655.52,319098276
11/10/2015,4628.14,4647.23,4616.78,4641.73,328641379
11/11/2015,4657.29,4677.76,4631.17,4636.94,288334483
11/12/2015,4618.17,4639.23,4588.08,4588.93,313953448
11/13/2015,4566.12,4575.7,4499.26,4502.14,345008621
11/16/2015,4494.33,4566.03,4488.62,4565.47,313653448
11/17/2015,4571.54,4597.79,4554.98,4565.82,320984483
11/18/2015,4585.9,4657.61,4580.85,4653.44,347825862
11/19/2015,4657.1,4677.95,4648.96,4655.35,309329310
11/20/2015,4679.74,4691.06,4674.61,4686.36,304591379
11/23/2015,4689.62,4706.62,4655.6,4674.79,287634483
11/24/2015,4645.5,4681.75,4621.79,4669.41,337400000
11/25/2015,4674.23,4683.55,4666.34,4672.88,265396552
11/27/2015,4680.8,4689.56,4665.97,4680.46,134781034
11/30/2015,4692.43,4694.9,4654.63,4664.51,383427586
12/1/2015,4685.25,4716.16,4682.92,4716.16,350960345
12/2/2015,4720.27,4739.59,4680.21,4686.22,355231034
12/3/2015,4704.26,4705.73,4579.95,4606.75,360017241
12/4/2015,4621.48,4722.39,4612.11,4716.12,327153448
12/7/2015,4718.55,4720.82,4671.86,4693.62,336670690
12/8/2015,4646.43,4708.47,4643.65,4694.77,322663793
12/9/2015,4674.8,4698.25,4595.01,4622.14,345422414
12/10/2015,4627.77,4674,4619.98,4643.05,301124138
12/11/2015,4583.08,4600.91,4534.05,4537.56,359474138
12/14/2015,4535.56,4571.57,4478.25,4570.16,378631034
12/15/2015,4607.2,4636.77,4592.72,4597.33,354260345
12/16/2015,4633.85,4673.54,4582.88,4664.57,347691379
12/17/2015,4680.63,4681.13,4597.65,4598.14,327106897
12/18/2015,4578.69,4593.41,4513.23,4514.82,649174138
12/21/2015,4547.93,4560.71,4519.82,4560.55,288517241
12/22/2015,4580.61,4596.08,4560.54,4589.26,268391379
12/23/2015,4612.16,4626.16,4605.36,4624.59,274394828
12/24/2015,4626.32,4635.59,4620.81,4622.77,121875862
12/28/2015,4610.41,4621.68,4580.13,4621.35,225974138
12/29/2015,4645.08,4702.74,4644.32,4691.08,238529310
12/30/2015,4687.16,4688.66,4651.73,4652.01,215091379
12/31/2015,4634.16,4642.55,4592.88,4593.27,247841379
1/4/2016,4485.06,4497.85,4439.13,4497.85,382486207
1/5/2016,4512.04,4522.12,4466.05,4484.18,332306897
1/6/2016,4409.79,4467.55,4409.49,4443.98,373900000
1/7/2016,4349.14,4403.61,4303.66,4305.73,440101724
1/8/2016,4336.12,4362.47,4264.81,4270.78,394612069
1/11/2016,4300.97,4311.14,4217.63,4283.55,412260345
1/12/2016,4322.77,4353.19,4273.02,4333.72,370253448
1/13/2016,4352.65,4359.5,4177.3,4183.12,436758621
1/14/2016,4201.23,4308.25,4133.32,4272.97,442337931
1/15/2016,4123.87,4184.69,4085.79,4141.08,485970690
1/19/2016,4199.56,4202.04,4101.05,4147.07,412853448
1/20/2016,4078.23,4178.64,3992.91,4136.28,552436207
1/21/2016,4146.45,4200.35,4099.31,4142.6,422025862
1/22/2016,4226.44,4260.56,4209.24,4259.77,371265517
1/25/2016,4245.47,4268.11,4193.32,4196.53,349806897
1/26/2016,4211.93,4250.97,4177.85,4233.85,341582759
1/27/2016,4214.94,4226.09,4111.93,4128.86,364777586
1/28/2016,4197.2,4197.48,4116.5,4186.06,400398276
1/29/2016,4186.35,4279.17,4184.31,4279.17,449577586
2/1/2016,4254.41,4301.63,4238.2,4286.56,341955172
2/2/2016,4261.9,4264.81,4180.57,4193.1,376755172
2/3/2016,4213.67,4218.16,4099.24,4171.97,425205172
2/4/2016,4158.05,4200.99,4120.58,4167.77,379470690
2/5/2016,4150.35,4152.73,4008.45,4024.47,427462069
2/8/2016,3947.99,3979.09,3888.78,3960.67,465874138
2/9/2016,3903.93,4008.06,3902.74,3947.8,425136207
2/10/2016,3996.77,4045.48,3962.7,3966.28,422134483
2/11/2016,3910.57,3988.71,3902.86,3962.22,484884483
2/12/2016,3996.64,4022.12,3965.74,4019.19,341929310
2/16/2016,4077.33,4104.33,4049.88,4104.33,365158621
2/17/2016,4138.43,4204.63,4125.83,4199.1,395937931
2/18/2016,4212.22,4212.57,4146.1,4151.49,337218966
2/19/2016,4129.75,4175.08,4121.59,4164.09,328236207
2/22/2016,4203.6,4235.12,4199.93,4231.27,309313793
2/23/2016,4209.32,4217.99,4158.56,4162.54,306508621
2/24/2016,4116.02,4205.98,4088.12,4200.66,341065517
2/25/2016,4212.48,4241.25,4173.25,4241.06,287558621
2/26/2016,4273.59,4275.82,4227.29,4235.62,312917241
2/29/2016,4228.57,4263.31,4200.15,4201.12,356079310
3/1/2016,4238.08,4333.61,4225.93,4333.61,358646552
3/2/2016,4328.72,4335.43,4301.09,4334.39,329743103
3/3/2016,4330.4,4331.49,4296.32,4325.86,333843103
3/4/2016,4334.03,4356.34,4301.35,4329,374350000
3/7/2016,4303.81,4330.28,4271.57,4303.33,359377586
3/8/2016,4272.72,4308.84,4258.82,4265.51,343631034
3/9/2016,4281.09,4293.23,4258.07,4293.23,308543103
3/10/2016,4307.87,4335.33,4232.08,4286.97,333874138
3/11/2016,4337.13,4361.83,4320.55,4361.83,310653448
3/14/2016,4347.94,4378.35,4347.56,4367.33,278465517
3/15/2016,4354.38,4371.29,4339.86,4367.08,291796552
3/16/2016,4359.67,4416.11,4357.73,4404.2,307079310
3/17/2016,4389.8,4413.07,4377.01,4400.26,328825862
3/18/2016,4409.14,4420.8,4388.7,4410.83,487765517
3/21/2016,4403.02,4430.42,4400.43,4426.98,277453448
